stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.00000] opening C:\Users\justi\Documents\NTHUCS_code\mini2\TowerDefense\bin\Debug\allegro5.cfg r
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.06790] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.06792] added dtor for sample_instance 0000000002BDD780, func 0000000061BE32C3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.06794] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.06795] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.06797] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.06799] added dtor for sample_instance 0000000002BDC3D0, func 0000000061BE32C3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.06801] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.06802] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.06804] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.06806] added dtor for sample_instance 0000000002BDDA20, func 0000000061BE32C3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.06808] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.06809] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.06811] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.06813] added dtor for sample_instance 0000000002BDDCC0, func 0000000061BE32C3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.06815] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.06816] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.06818] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.06821] added dtor for sample_instance 0000000002BDBFE0, func 0000000061BE32C3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.06823] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.06824] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.06826] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.06829] added dtor for sample_instance 0000000002BDC130, func 0000000061BE32C3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.06831] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.06833] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.06835] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.06837] added dtor for sample_instance 0000000002BDC7C0, func 0000000061BE32C3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.06839] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.06841] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.06842] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.06850] added dtor for sample_instance 0000000002BE2980, func 0000000061BE32C3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.06853] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.06854] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.06856] 
